  
 ----------------
 Bad Element Info
 ----------------
  
 Element         5766
         0.99847482473639126       -1.8133333510004485E-002   0.0000000000000000     
          1.0131755537843301       -1.2289900606898828E-002   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
         0.99736192479940855       -8.2150726122218638E-003   0.0000000000000000     
 Problems:
       Maximum Angle      156.75658160603908     
  
 //////////////////////////////////////////////////
 Element         5768
          1.0130726550098115        1.1550217920893035E-002   0.0000000000000000     
         0.99743068553555214        1.5431381510476651E-002   0.0000000000000000     
         0.99796099909719083        7.4902080855192873E-004   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
 Problems:
       Condition          5.7630558361187916     
       Edge Ratio         8.3330246016901199     
  
 //////////////////////////////////////////////////
  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      3.4880E-03      1.1631E+00      1.1209E+00      1.2980E+00      2.4530E-03      7.9808E+01      1.1685E+02      1.0000E+00
      1.5415E-03      1.5712E+00      1.4103E+00      2.0908E+00      8.5644E-04      5.7559E+01      1.3068E+02      1.0000E+00
      1.3917E-03      1.4807E+00      1.3492E+00      2.0197E+00      8.5916E-04      5.8649E+01      1.2559E+02      1.0000E+00
      8.3143E-04      1.0964E+00      1.0317E+00      1.2046E+00      7.0851E-04      8.4275E+01      1.0372E+02      1.0000E+00
      2.2256E-02      1.6218E+00      1.4509E+00      2.0847E+00      1.3793E-02      4.7801E+01      1.2742E+02      1.0000E+00
      2.8316E-02      1.6664E+00      1.5415E+00      2.3361E+00      1.5195E-02      5.2747E+01      1.3289E+02      1.0000E+00
      1.3519E-02      1.0740E+00      1.0154E+00      1.1602E+00      1.1850E-02      8.5562E+01      9.9697E+01      1.0000E+00
      1.9128E-02      1.0522E+00      1.0157E+00      1.1286E+00      1.8480E-02      8.2719E+01      9.7361E+01      1.0000E+00
      1.5677E-02      1.1944E+00      1.1421E+00      1.3342E+00      1.1248E-02      7.4323E+01      1.1870E+02      1.0000E+00
      1.5117E-02      1.1869E+00      1.0352E+00      1.3182E+00      1.2663E-02      8.0853E+01      1.0179E+02      1.0000E+00
      5.8846E-03      1.5051E+00      1.3801E+00      2.0797E+00      3.5271E-03      5.7939E+01      1.2679E+02      1.0000E+00
      6.4026E-03      1.5485E+00      1.3978E+00      2.0951E+00      3.6093E-03      5.8148E+01      1.2947E+02      1.0000E+00
      3.3874E-03      1.0951E+00      1.0313E+00      1.2000E+00      2.8823E-03      8.4395E+01      1.0374E+02      1.0000E+00
      2.6379E-02      1.6636E+00      1.6041E+00      2.2608E+00      1.3016E-02      5.3470E+01      1.3698E+02      1.0000E+00
      1.3217E-02      1.0887E+00      1.0316E+00      1.1954E+00      1.1273E-02      8.2514E+01      1.0371E+02      1.0000E+00
      2.0136E-02      1.4500E+00      1.2915E+00      1.8750E+00      1.3192E-02      5.3984E+01      1.1931E+02      1.0000E+00
      1.5789E-02      1.1943E+00      1.0510E+00      1.3510E+00      1.3395E-02      7.4419E+01      1.0529E+02      1.0000E+00
      1.7035E-02      1.1491E+00      1.0425E+00      1.2144E+00      1.5255E-02      7.5657E+01      1.0507E+02      1.0000E+00
      6.6389E-03      1.6741E+00      1.5789E+00      2.3023E+00      3.3935E-03      5.2901E+01      1.3539E+02      1.0000E+00
      3.2794E-03      1.0833E+00      1.0286E+00      1.1971E+00      2.7741E-03      8.4436E+01      1.0299E+02      1.0000E+00
      5.1278E-03      1.4992E+00      1.3425E+00      1.9612E+00      3.2691E-03      5.2006E+01      1.2161E+02      1.0000E+00
      5.1339E-03      1.4981E+00      1.3417E+00      1.9586E+00      3.2786E-03      5.2065E+01      1.2164E+02      1.0000E+00
      6.7836E-03      1.6851E+00      1.5927E+00      2.3045E+00      3.3914E-03      5.2952E+01      1.3625E+02      1.0000E+00
      3.2896E-03      1.0783E+00      1.0261E+00      1.1924E+00      2.8300E-03      8.4280E+01      1.0211E+02      1.0000E+00
