  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      8.2384E-02      1.4898E+00      1.3355E+00      1.9526E+00      5.2603E-02      5.2336E+01      1.2111E+02      1.0000E+00
      5.2677E-02      1.0792E+00      1.0262E+00      1.1937E+00      4.5331E-02      8.4302E+01      1.0211E+02      1.0000E+00
      1.0860E-01      1.6938E+00      1.6093E+00      2.3112E+00      5.3906E-02      5.2554E+01      1.3678E+02      1.0000E+00
      2.7336E-01      1.1443E+00      1.0435E+00      1.2100E+00      2.4436E-01      7.5173E+01      1.0586E+02      1.0000E+00
      2.5572E-01      1.1810E+00      1.0427E+00      1.3568E+00      2.1584E-01      7.5851E+01      1.0358E+02      1.0000E+00
      5.2654E-02      1.0789E+00      1.0262E+00      1.1935E+00      4.5318E-02      8.4258E+01      1.0212E+02      1.0000E+00
      8.2099E-02      1.4911E+00      1.3362E+00      1.9515E+00      5.2521E-02      5.2331E+01      1.2129E+02      1.0000E+00
      1.0856E-01      1.6954E+00      1.6014E+00      2.3132E+00      5.3923E-02      5.2704E+01      1.3659E+02      1.0000E+00
      8.2017E-02      1.4926E+00      1.3413E+00      1.9588E+00      5.2325E-02      5.2183E+01      1.2138E+02      1.0000E+00
      5.2389E-02      1.0813E+00      1.0259E+00      1.1976E+00      4.5117E-02      8.4451E+01      1.0198E+02      1.0000E+00
      1.0625E-01      1.7033E+00      1.6051E+00      2.2972E+00      5.3934E-02      5.1758E+01      1.3664E+02      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
      1.5604E-02      1.0605E+00      1.0262E+00      1.0645E+00      1.5017E-02      7.8267E+01      1.0294E+02      1.0000E+00
      1.5787E-02      1.0538E+00      1.0141E+00      1.0693E+00      1.5331E-02      8.0970E+01      9.8745E+01      1.0000E+00
      1.6903E-02      1.0669E+00      1.0143E+00      1.1027E+00      1.6303E-02      8.2133E+01      9.9032E+01      1.0000E+00
      1.9765E-02      1.5074E+00      1.4037E+00      1.9528E+00      1.2914E-02      5.0524E+01      1.2512E+02      1.0000E+00
      1.2997E-02      1.0844E+00      1.0194E+00      1.2141E+00      1.1277E-02      8.2349E+01      9.7340E+01      1.0000E+00
      2.6172E-02      1.7125E+00      1.6272E+00      2.2891E+00      1.3143E-02      5.1311E+01      1.3754E+02      1.0000E+00
      1.2982E-02      1.0902E+00      1.0467E+00      1.1916E+00      1.1118E-02      8.0479E+01      1.0656E+02      1.0000E+00
      2.0680E-02      1.4480E+00      1.2660E+00      1.9213E+00      1.3045E-02      5.5307E+01      1.1620E+02      1.0000E+00
      2.6331E-02      1.7309E+00      1.6146E+00      2.3150E+00      1.3190E-02      5.1349E+01      1.3724E+02      1.0000E+00
      1.6721E-02      1.0775E+00      1.0256E+00      1.1027E+00      1.6254E-02      7.8036E+01      1.0163E+02      1.0000E+00
      1.5605E-02      1.0607E+00      1.0262E+00      1.0648E+00      1.5017E-02      7.8254E+01      1.0296E+02      1.0000E+00
